"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 24 21:07:44 EST 2023","Fri Nov 24 21:07:45 EST 2023","454","TestSuiteCrossBrowser","Test","com.ninjaalgo.runner.ArrayChromeBrowser","com.ninjaalgo.runner.ArrayChromeBrowser","runScenario","Runs Cucumber Scenarios",""
"passed","Fri Nov 24 21:07:33 EST 2023","Fri Nov 24 21:07:38 EST 2023","5321","Chrome Browser All modules","Test","com.ninjaalgo.runner.TestNGArray","com.ninjaalgo.runner.TestNGArray","runScenario","Runs Cucumber Scenarios",""
"passed","Fri Nov 24 21:07:40 EST 2023","Fri Nov 24 21:07:44 EST 2023","4427","TestSuiteCrossBrowser","Test","com.ninjaalgo.runner.ArrayChromeBrowser","com.ninjaalgo.runner.ArrayChromeBrowser","runScenario","Runs Cucumber Scenarios",""
"passed","Fri Nov 24 21:08:08 EST 2023","Fri Nov 24 21:08:12 EST 2023","4698","TestSuiteCrossBrowser","Test","com.ninjaalgo.runner.ArrayEdgeBrowser","com.ninjaalgo.runner.ArrayEdgeBrowser","runScenario","Runs Cucumber Scenarios",""
"passed","Fri Nov 24 21:07:50 EST 2023","Fri Nov 24 21:08:02 EST 2023","11535","TestSuiteCrossBrowser","Test","com.ninjaalgo.runner.ArrayChromeBrowser","com.ninjaalgo.runner.ArrayChromeBrowser","runScenario","Runs Cucumber Scenarios",""
"passed","Fri Nov 24 21:08:24 EST 2023","Fri Nov 24 21:08:36 EST 2023","12172","DataArrayParallelSce","Test","com.ninjaalgo.runner.DataArrayparallelSce","com.ninjaalgo.runner.DataArrayparallelSce","runScenario","Runs Cucumber Scenarios",""
"passed","Fri Nov 24 21:07:09 EST 2023","Fri Nov 24 21:07:23 EST 2023","13955","Chrome Browser All modules","Test","com.ninjaalgo.runner.TestNGDataStructure","com.ninjaalgo.runner.TestNGDataStructure","runScenario","Runs Cucumber Scenarios",""
"passed","Fri Nov 24 21:09:05 EST 2023","Fri Nov 24 21:09:06 EST 2023","881","DDSuite","Test","com.ninjaalgo.runner.DDPythonArrayTestCase","com.ninjaalgo.runner.DDPythonArrayTestCase","LoginValidity","LoginValidity",""
"passed","Fri Nov 24 21:07:02 EST 2023","Fri Nov 24 21:07:03 EST 2023","567","Chrome Browser All modules","Test","com.ninjaalgo.runner.TestNGDataStructure","com.ninjaalgo.runner.TestNGDataStructure","runScenario","Runs Cucumber Scenarios",""
"passed","Fri Nov 24 21:08:06 EST 2023","Fri Nov 24 21:08:07 EST 2023","592","TestSuiteCrossBrowser","Test","com.ninjaalgo.runner.ArrayEdgeBrowser","com.ninjaalgo.runner.ArrayEdgeBrowser","runScenario","Runs Cucumber Scenarios",""
"passed","Fri Nov 24 21:09:07 EST 2023","Fri Nov 24 21:09:26 EST 2023","18806","DataParallelSuite","Test Data","com.ninjaalgo.runner.ArrayparallelClass","com.ninjaalgo.runner.ArrayparallelClass","runScenario","Runs Cucumber Scenarios",""
"passed","Fri Nov 24 21:08:24 EST 2023","Fri Nov 24 21:08:44 EST 2023","19820","DataArrayParallelSce","Test","com.ninjaalgo.runner.DataArrayparallelSce","com.ninjaalgo.runner.DataArrayparallelSce","runScenario","Runs Cucumber Scenarios",""
"passed","Fri Nov 24 21:08:49 EST 2023","Fri Nov 24 21:08:50 EST 2023","315","DDSuite","Test","com.ninjaalgo.runner.DDLoginTestCase","com.ninjaalgo.runner.DDLoginTestCase","LoginValidity","LoginValidity",""
"passed","Fri Nov 24 21:07:04 EST 2023","Fri Nov 24 21:07:09 EST 2023","4832","Chrome Browser All modules","Test","com.ninjaalgo.runner.TestNGDataStructure","com.ninjaalgo.runner.TestNGDataStructure","runScenario","Runs Cucumber Scenarios",""
"passed","Fri Nov 24 21:08:12 EST 2023","Fri Nov 24 21:08:24 EST 2023","11427","TestSuiteCrossBrowser","Test","com.ninjaalgo.runner.ArrayEdgeBrowser","com.ninjaalgo.runner.ArrayEdgeBrowser","runScenario","Runs Cucumber Scenarios",""
"passed","Fri Nov 24 21:06:57 EST 2023","Fri Nov 24 21:07:02 EST 2023","5734","Chrome Browser All modules","Test","com.ninjaalgo.runner.TestNGDataStructure","com.ninjaalgo.runner.TestNGDataStructure","runScenario","Runs Cucumber Scenarios",""
"passed","Fri Nov 24 21:09:07 EST 2023","Fri Nov 24 21:09:20 EST 2023","13026","DataParallelSuite","Test Data","com.ninjaalgo.runner.DataparallelClass","com.ninjaalgo.runner.DataparallelClass","runScenario","Runs Cucumber Scenarios",""
